Commodity,Company,,County
Iron ore,ArcelorMittal S.A. (Minorca Mine),,St. Louis
Iron ore,Cliffs Natural Resources Inc. (Hibbing Taconite Co.),,St. Louis and Lake
Iron ore,Cliffs Natural Resources Inc. (Northshore Mining Co.),,St. Louis
Iron ore,Cliffs Natural Resources Inc. (United Taconite LLC),,St. Louis
Iron ore,"Mesabi Nugget Delaware LLC (Steel Dymanics, Inc.)1",,St. Louis
Iron ore,Magnetation LLC (Mesabi Chief Plant #1),,Itasca
Iron ore,Magnetation LLC (Mesabi Chief Plant #2),,Itasca
Iron ore,Magnetation LLC (Mesabi Chief Plant #4),,Itasca
Iron ore,United States Steel Corp. (Minntac Mine),,Itasca
Iron ore,United States Steel Corp. (Keewatin  Mine),,Itasca
Lime,American  Crystal Sugar Co. (Crookston),,Polk 
Lime,American  Crystal Sugar Co. (East Grand Forks),,Polk 
Lime,American  Crystal Sugar Co. (Moorhead),,Clay
Lime,South Minnesota Sugar Cooperative (Renville),,Renville
Peat,"Conrad Fafard, Inc. (IKO Enterprises)",,St. Louis
Peat,Hawkes Co. Inc.,,Marshall
Peat,Aitkin-Agri-Peat Inc.,,Aitkin
Peat,Premier Tech Horticulture,,Carlton
Peat,"Sampson Farms, Inc.",,Aitkin
"Sand and gravel, industrial ",Fairmont Minerals Ltd. (Shakopee),,Scott
"Sand and gravel, industrial ",Jordan Sands LLC,,Blue Earth
"Sand and gravel, industrial ",Titan,,Hennepin
"Sand and gravel, industrial ",Titan Leasing Transloading,,Chisago
"Sand and gravel, industrial ",Unimin Corp. (Kasota plant),,Le Sueur
"Stone, dimension",Biesanz Stone Co. (Winona Quarry),,Winona
"Stone, dimension",Cold Spring Granite Co. (Charcoal #3 Quarry),,Stearns
"Stone, dimension",Cold Spring Granite Co. (Rockville No. 1 Quarry),,Stearns
"Stone, dimension",Cold Spring Granite Co. (Rockville No. 2 Quarry),,Stearns
"Stone, dimension",Cold Spring Granite Co. (Iridian Quarry),,Mille Lacs
"Stone, dimension",Cold Spring Granite Co. (Mesabi Black Quarry),,Lake
"Stone, dimension",Cold Spring Granite Co. (Lake Superior Green Quarry),,Lake
"Stone, dimension",Jasper Stone Co. (Jasper Quarry),,Rock
"Stone, dimension",Vetter Stone Co. (Main Quarry),,Blue Earth